srcStateName,srcYear,Electricity consumption by ultimate consumers,YearCode,Year
Chandigarh,2011-12,1301,2011,"Financial Year (Apr - Mar), 2011"
Delhi,2011-12,23015,2011,"Financial Year (Apr - Mar), 2011"
Haryana,2011-12,27614,2011,"Financial Year (Apr - Mar), 2011"
Himachal Pradesh,2011-12,6844,2011,"Financial Year (Apr - Mar), 2011"
Jammu & Kashmir,2011-12,4267,2011,"Financial Year (Apr - Mar), 2011"
Punjab,2011-12,33888,2011,"Financial Year (Apr - Mar), 2011"
Rajasthan,2011-12,37904,2011,"Financial Year (Apr - Mar), 2011"
Uttar Pradesh,2011-12,50592,2011,"Financial Year (Apr - Mar), 2011"
Uttarakhand,2011-12,8253,2011,"Financial Year (Apr - Mar), 2011"
Chhattisgarh,2011-12,13178,2011,"Financial Year (Apr - Mar), 2011"
Gujarat,2011-12,57654,2011,"Financial Year (Apr - Mar), 2011"
Madhay Pradesh,2011-12,28541,2011,"Financial Year (Apr - Mar), 2011"
Maharashtra,2011-12,96642,2011,"Financial Year (Apr - Mar), 2011"
Daman & Diu,2011-12,1771,2011,"Financial Year (Apr - Mar), 2011"
Dadra & Nagar Haveli,2011-12,4139,2011,"Financial Year (Apr - Mar), 2011"
Goa,2011-12,2973,2011,"Financial Year (Apr - Mar), 2011"
Andhra Pradesh,2011-12,70421,2011,"Financial Year (Apr - Mar), 2011"
Telangana,2011-12,,2011,"Financial Year (Apr - Mar), 2011"
Karnataka,2011-12,47456,2011,"Financial Year (Apr - Mar), 2011"
Kerala,2011-12,15993,2011,"Financial Year (Apr - Mar), 2011"
Tamil Nadu,2011-12,61897,2011,"Financial Year (Apr - Mar), 2011"
Puducherry,2011-12,2322,2011,"Financial Year (Apr - Mar), 2011"
Lakshadweep,2011-12,34,2011,"Financial Year (Apr - Mar), 2011"
Bihar,2011-12,6184,2011,"Financial Year (Apr - Mar), 2011"
Jharkhand,2011-12,15595,2011,"Financial Year (Apr - Mar), 2011"
Odisha,2011-12,13054,2011,"Financial Year (Apr - Mar), 2011"
West Bengal,2011-12,33903,2011,"Financial Year (Apr - Mar), 2011"
Sikkim,2011-12,371,2011,"Financial Year (Apr - Mar), 2011"
Andaman & Nicobar Islands,2011-12,199,2011,"Financial Year (Apr - Mar), 2011"
Arunachal Pradesh,2011-12,436,2011,"Financial Year (Apr - Mar), 2011"
Assam,2011-12,3969,2011,"Financial Year (Apr - Mar), 2011"
Manipur,2011-12,325,2011,"Financial Year (Apr - Mar), 2011"
Meghalaya,2011-12,1075,2011,"Financial Year (Apr - Mar), 2011"
Mizoram,2011-12,252,2011,"Financial Year (Apr - Mar), 2011"
Nagaland,2011-12,317,2011,"Financial Year (Apr - Mar), 2011"
Tripura,2011-12,554,2011,"Financial Year (Apr - Mar), 2011"
Chandigarh,2012-13,1365,2012,"Financial Year (Apr - Mar), 2012"
Delhi,2012-13,23144,2012,"Financial Year (Apr - Mar), 2012"
Haryana,2012-13,26258,2012,"Financial Year (Apr - Mar), 2012"
Himachal Pradesh,2012-13,7358,2012,"Financial Year (Apr - Mar), 2012"
Jammu & Kashmir,2012-13,5163,2012,"Financial Year (Apr - Mar), 2012"
Punjab,2012-13,35825,2012,"Financial Year (Apr - Mar), 2012"
Rajasthan,2012-13,42160,2012,"Financial Year (Apr - Mar), 2012"
Uttar Pradesh,2012-13,55550,2012,"Financial Year (Apr - Mar), 2012"
Uttarakhand,2012-13,8574,2012,"Financial Year (Apr - Mar), 2012"
Chhattisgarh,2012-13,14115,2012,"Financial Year (Apr - Mar), 2012"
Gujarat,2012-13,63427,2012,"Financial Year (Apr - Mar), 2012"
Madhay Pradesh,2012-13,32936,2012,"Financial Year (Apr - Mar), 2012"
Maharashtra,2012-13,100285,2012,"Financial Year (Apr - Mar), 2012"
Daman & Diu,2012-13,1814,2012,"Financial Year (Apr - Mar), 2012"
Dadra & Nagar Haveli,2012-13,4595,2012,"Financial Year (Apr - Mar), 2012"
Goa,2012-13,2998,2012,"Financial Year (Apr - Mar), 2012"
Andhra Pradesh,2012-13,68439,2012,"Financial Year (Apr - Mar), 2012"
Telangana,2012-13,,2012,"Financial Year (Apr - Mar), 2012"
Karnataka,2012-13,51439,2012,"Financial Year (Apr - Mar), 2012"
Kerala,2012-13,16833,2012,"Financial Year (Apr - Mar), 2012"
Tamil Nadu,2012-13,62077,2012,"Financial Year (Apr - Mar), 2012"
Puducherry,2012-13,2492,2012,"Financial Year (Apr - Mar), 2012"
Lakshadweep,2012-13,38,2012,"Financial Year (Apr - Mar), 2012"
Bihar,2012-13,6721,2012,"Financial Year (Apr - Mar), 2012"
Jharkhand,2012-13,17124,2012,"Financial Year (Apr - Mar), 2012"
Odisha,2012-13,13552,2012,"Financial Year (Apr - Mar), 2012"
West Bengal,2012-13,36320,2012,"Financial Year (Apr - Mar), 2012"
Sikkim,2012-13,385,2012,"Financial Year (Apr - Mar), 2012"
Andaman & Nicobar Islands,2012-13,206,2012,"Financial Year (Apr - Mar), 2012"
Arunachal Pradesh,2012-13,471,2012,"Financial Year (Apr - Mar), 2012"
Assam,2012-13,4205,2012,"Financial Year (Apr - Mar), 2012"
Manipur,2012-13,379,2012,"Financial Year (Apr - Mar), 2012"
Meghalaya,2012-13,1259,2012,"Financial Year (Apr - Mar), 2012"
Mizoram,2012-13,287,2012,"Financial Year (Apr - Mar), 2012"
Nagaland,2012-13,328,2012,"Financial Year (Apr - Mar), 2012"
Tripura,2012-13,721,2012,"Financial Year (Apr - Mar), 2012"
Chandigarh,2013-14,1419,2013,"Financial Year (Apr - Mar), 2013"
Delhi,2013-14,23981,2013,"Financial Year (Apr - Mar), 2013"
Haryana,2013-14,29083,2013,"Financial Year (Apr - Mar), 2013"
Himachal Pradesh,2013-14,7649,2013,"Financial Year (Apr - Mar), 2013"
Jammu & Kashmir,2013-14,5754,2013,"Financial Year (Apr - Mar), 2013"
Punjab,2013-14,37557,2013,"Financial Year (Apr - Mar), 2013"
Rajasthan,2013-14,43151,2013,"Financial Year (Apr - Mar), 2013"
Uttar Pradesh,2013-14,59177,2013,"Financial Year (Apr - Mar), 2013"
Uttarakhand,2013-14,9597,2013,"Financial Year (Apr - Mar), 2013"
Chhattisgarh,2013-14,14791,2013,"Financial Year (Apr - Mar), 2013"
Gujarat,2013-14,66878,2013,"Financial Year (Apr - Mar), 2013"
Madhay Pradesh,2013-14,36770,2013,"Financial Year (Apr - Mar), 2013"
Maharashtra,2013-14,100842,2013,"Financial Year (Apr - Mar), 2013"
Daman & Diu,2013-14,1819,2013,"Financial Year (Apr - Mar), 2013"
Dadra & Nagar Haveli,2013-14,5190,2013,"Financial Year (Apr - Mar), 2013"
Goa,2013-14,3085,2013,"Financial Year (Apr - Mar), 2013"
Andhra Pradesh,2013-14,72919,2013,"Financial Year (Apr - Mar), 2013"
Telangana,2013-14,,2013,"Financial Year (Apr - Mar), 2013"
Karnataka,2013-14,53716,2013,"Financial Year (Apr - Mar), 2013"
Kerala,2013-14,18025,2013,"Financial Year (Apr - Mar), 2013"
Tamil Nadu,2013-14,71772,2013,"Financial Year (Apr - Mar), 2013"
Puducherry,2013-14,2532,2013,"Financial Year (Apr - Mar), 2013"
Lakshadweep,2013-14,41,2013,"Financial Year (Apr - Mar), 2013"
Bihar,2013-14,7980,2013,"Financial Year (Apr - Mar), 2013"
Jharkhand,2013-14,18175,2013,"Financial Year (Apr - Mar), 2013"
Odisha,2013-14,14411,2013,"Financial Year (Apr - Mar), 2013"
West Bengal,2013-14,36592,2013,"Financial Year (Apr - Mar), 2013"
Sikkim,2013-14,405,2013,"Financial Year (Apr - Mar), 2013"
Andaman & Nicobar Islands,2013-14,216,2013,"Financial Year (Apr - Mar), 2013"
Arunachal Pradesh,2013-14,481,2013,"Financial Year (Apr - Mar), 2013"
Assam,2013-14,4763,2013,"Financial Year (Apr - Mar), 2013"
Manipur,2013-14,398,2013,"Financial Year (Apr - Mar), 2013"
Meghalaya,2013-14,1322,2013,"Financial Year (Apr - Mar), 2013"
Mizoram,2013-14,303,2013,"Financial Year (Apr - Mar), 2013"
Nagaland,2013-14,395,2013,"Financial Year (Apr - Mar), 2013"
Tripura,2013-14,722,2013,"Financial Year (Apr - Mar), 2013"
Chandigarh,2014-15,1472,2014,"Financial Year (Apr - Mar), 2014"
Delhi,2014-15,24775,2014,"Financial Year (Apr - Mar), 2014"
Haryana,2014-15,32197,2014,"Financial Year (Apr - Mar), 2014"
Himachal Pradesh,2014-15,7842,2014,"Financial Year (Apr - Mar), 2014"
Jammu & Kashmir,2014-15,6372,2014,"Financial Year (Apr - Mar), 2014"
Punjab,2014-15,39384,2014,"Financial Year (Apr - Mar), 2014"
Rajasthan,2014-15,49920,2014,"Financial Year (Apr - Mar), 2014"
Uttar Pradesh,2014-15,64707,2014,"Financial Year (Apr - Mar), 2014"
Uttarakhand,2014-15,9980,2014,"Financial Year (Apr - Mar), 2014"
Chhattisgarh,2014-15,17102,2014,"Financial Year (Apr - Mar), 2014"
Gujarat,2014-15,73890,2014,"Financial Year (Apr - Mar), 2014"
Madhay Pradesh,2014-15,41757,2014,"Financial Year (Apr - Mar), 2014"
Maharashtra,2014-15,108496,2014,"Financial Year (Apr - Mar), 2014"
Daman & Diu,2014-15,1595,2014,"Financial Year (Apr - Mar), 2014"
Dadra & Nagar Haveli,2014-15,5164,2014,"Financial Year (Apr - Mar), 2014"
Goa,2014-15,3151,2014,"Financial Year (Apr - Mar), 2014"
Andhra Pradesh,2014-15,41914,2014,"Financial Year (Apr - Mar), 2014"
Telangana,2014-15,39639,2014,"Financial Year (Apr - Mar), 2014"
Karnataka,2014-15,55166,2014,"Financial Year (Apr - Mar), 2014"
Kerala,2014-15,18786,2014,"Financial Year (Apr - Mar), 2014"
Tamil Nadu,2014-15,77618,2014,"Financial Year (Apr - Mar), 2014"
Puducherry,2014-15,2441,2014,"Financial Year (Apr - Mar), 2014"
Lakshadweep,2014-15,45,2014,"Financial Year (Apr - Mar), 2014"
Bihar,2014-15,9807,2014,"Financial Year (Apr - Mar), 2014"
Jharkhand,2014-15,16533,2014,"Financial Year (Apr - Mar), 2014"
Odisha,2014-15,15440,2014,"Financial Year (Apr - Mar), 2014"
West Bengal,2014-15,39059,2014,"Financial Year (Apr - Mar), 2014"
Sikkim,2014-15,405,2014,"Financial Year (Apr - Mar), 2014"
Andaman & Nicobar Islands,2014-15,229,2014,"Financial Year (Apr - Mar), 2014"
Arunachal Pradesh,2014-15,543,2014,"Financial Year (Apr - Mar), 2014"
Assam,2014-15,5484,2014,"Financial Year (Apr - Mar), 2014"
Manipur,2014-15,465,2014,"Financial Year (Apr - Mar), 2014"
Meghalaya,2014-15,1233,2014,"Financial Year (Apr - Mar), 2014"
Mizoram,2014-15,327,2014,"Financial Year (Apr - Mar), 2014"
Nagaland,2014-15,529,2014,"Financial Year (Apr - Mar), 2014"
Tripura,2014-15,786,2014,"Financial Year (Apr - Mar), 2014"
Chandigarh,2015-16,1497,2015,"Financial Year (Apr - Mar), 2015"
Delhi,2015-16,25658,2015,"Financial Year (Apr - Mar), 2015"
Haryana,2015-16,35092,2015,"Financial Year (Apr - Mar), 2015"
Himachal Pradesh,2015-16,7958,2015,"Financial Year (Apr - Mar), 2015"
Jammu & Kashmir,2015-16,7144,2015,"Financial Year (Apr - Mar), 2015"
Punjab,2015-16,40843,2015,"Financial Year (Apr - Mar), 2015"
Rajasthan,2015-16,50359,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,2015-16,70967,2015,"Financial Year (Apr - Mar), 2015"
Uttarakhand,2015-16,10298,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2015-16,18887,2015,"Financial Year (Apr - Mar), 2015"
Gujarat,2015-16,77028,2015,"Financial Year (Apr - Mar), 2015"
Madhay Pradesh,2015-16,46384,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2015-16,115356,2015,"Financial Year (Apr - Mar), 2015"
Daman & Diu,2015-16,1692,2015,"Financial Year (Apr - Mar), 2015"
Dadra & Nagar Haveli,2015-16,5548,2015,"Financial Year (Apr - Mar), 2015"
Goa,2015-16,3391,2015,"Financial Year (Apr - Mar), 2015"
Andhra Pradesh,2015-16,44353,2015,"Financial Year (Apr - Mar), 2015"
Telangana,2015-16,41289,2015,"Financial Year (Apr - Mar), 2015"
Karnataka,2015-16,57223,2015,"Financial Year (Apr - Mar), 2015"
Kerala,2015-16,19829,2015,"Financial Year (Apr - Mar), 2015"
Tamil Nadu,2015-16,80083,2015,"Financial Year (Apr - Mar), 2015"
Puducherry,2015-16,2468,2015,"Financial Year (Apr - Mar), 2015"
Lakshadweep,2015-16,46,2015,"Financial Year (Apr - Mar), 2015"
Bihar,2015-16,13250,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2015-16,17542,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2015-16,16053,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2015-16,42497,2015,"Financial Year (Apr - Mar), 2015"
Sikkim,2015-16,354,2015,"Financial Year (Apr - Mar), 2015"
Andaman & Nicobar Islands,2015-16,242,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,2015-16,375,2015,"Financial Year (Apr - Mar), 2015"
Assam,2015-16,6199,2015,"Financial Year (Apr - Mar), 2015"
Manipur,2015-16,475,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2015-16,1283,2015,"Financial Year (Apr - Mar), 2015"
Mizoram,2015-16,339,2015,"Financial Year (Apr - Mar), 2015"
Nagaland,2015-16,549,2015,"Financial Year (Apr - Mar), 2015"
Tripura,2015-16,813,2015,"Financial Year (Apr - Mar), 2015"
Chandigarh,2016-17,1589,2016,"Financial Year (Apr - Mar), 2016"
Delhi,2016-17,26604,2016,"Financial Year (Apr - Mar), 2016"
Haryana,2016-17,34501,2016,"Financial Year (Apr - Mar), 2016"
Himachal Pradesh,2016-17,7974,2016,"Financial Year (Apr - Mar), 2016"
Jammu & Kashmir,2016-17,7902,2016,"Financial Year (Apr - Mar), 2016"
Punjab,2016-17,44050,2016,"Financial Year (Apr - Mar), 2016"
Rajasthan,2016-17,51027,2016,"Financial Year (Apr - Mar), 2016"
Uttar Pradesh,2016-17,81068,2016,"Financial Year (Apr - Mar), 2016"
Uttarakhand,2016-17,11162,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2016-17,19159,2016,"Financial Year (Apr - Mar), 2016"
Gujarat,2016-17,85556,2016,"Financial Year (Apr - Mar), 2016"
Madhay Pradesh,2016-17,45681,2016,"Financial Year (Apr - Mar), 2016"
Maharashtra,2016-17,121051,2016,"Financial Year (Apr - Mar), 2016"
Daman & Diu,2016-17,1737,2016,"Financial Year (Apr - Mar), 2016"
Dadra & Nagar Haveli,2016-17,5737,2016,"Financial Year (Apr - Mar), 2016"
Goa,2016-17,3475,2016,"Financial Year (Apr - Mar), 2016"
Andhra Pradesh,2016-17,47761,2016,"Financial Year (Apr - Mar), 2016"
Telangana,2016-17,44446,2016,"Financial Year (Apr - Mar), 2016"
Karnataka,2016-17,58152,2016,"Financial Year (Apr - Mar), 2016"
Kerala,2016-17,20218,2016,"Financial Year (Apr - Mar), 2016"
Tamil Nadu,2016-17,83936,2016,"Financial Year (Apr - Mar), 2016"
Puducherry,2016-17,2556,2016,"Financial Year (Apr - Mar), 2016"
Lakshadweep,2016-17,48,2016,"Financial Year (Apr - Mar), 2016"
Bihar,2016-17,17251,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2016-17,19549,2016,"Financial Year (Apr - Mar), 2016"
Odisha,2016-17,16988,2016,"Financial Year (Apr - Mar), 2016"
West Bengal,2016-17,43946,2016,"Financial Year (Apr - Mar), 2016"
Sikkim,2016-17,437,2016,"Financial Year (Apr - Mar), 2016"
Andaman & Nicobar Islands,2016-17,266,2016,"Financial Year (Apr - Mar), 2016"
Arunachal Pradesh,2016-17,371,2016,"Financial Year (Apr - Mar), 2016"
Assam,2016-17,6525,2016,"Financial Year (Apr - Mar), 2016"
Manipur,2016-17,512,2016,"Financial Year (Apr - Mar), 2016"
Meghalaya,2016-17,972,2016,"Financial Year (Apr - Mar), 2016"
Mizoram,2016-17,354,2016,"Financial Year (Apr - Mar), 2016"
Nagaland,2016-17,635,2016,"Financial Year (Apr - Mar), 2016"
Tripura,2016-17,895,2016,"Financial Year (Apr - Mar), 2016"
Chandigarh,2017-18,1574,2017,"Financial Year (Apr - Mar), 2017"
Delhi,2017-18,28488,2017,"Financial Year (Apr - Mar), 2017"
Haryana,2017-18,38215,2017,"Financial Year (Apr - Mar), 2017"
Himachal Pradesh,2017-18,8405,2017,"Financial Year (Apr - Mar), 2017"
Jammu & Kashmir,2017-18,8395,2017,"Financial Year (Apr - Mar), 2017"
Punjab,2017-18,47027,2017,"Financial Year (Apr - Mar), 2017"
Rajasthan,2017-18,53618,2017,"Financial Year (Apr - Mar), 2017"
Uttar Pradesh,2017-18,90395,2017,"Financial Year (Apr - Mar), 2017"
Uttarakhand,2017-18,11210,2017,"Financial Year (Apr - Mar), 2017"
Chhattisgarh,2017-18,20363,2017,"Financial Year (Apr - Mar), 2017"
Gujarat,2017-18,90719,2017,"Financial Year (Apr - Mar), 2017"
Madhay Pradesh,2017-18,52523,2017,"Financial Year (Apr - Mar), 2017"
Maharashtra,2017-18,124921,2017,"Financial Year (Apr - Mar), 2017"
Daman & Diu,2017-18,2377,2017,"Financial Year (Apr - Mar), 2017"
Dadra & Nagar Haveli,2017-18,5672,2017,"Financial Year (Apr - Mar), 2017"
Goa,2017-18,3618,2017,"Financial Year (Apr - Mar), 2017"
Andhra Pradesh,2017-18,51001,2017,"Financial Year (Apr - Mar), 2017"
Telangana,2017-18,51198,2017,"Financial Year (Apr - Mar), 2017"
Karnataka,2017-18,59236,2017,"Financial Year (Apr - Mar), 2017"
Kerala,2017-18,21354,2017,"Financial Year (Apr - Mar), 2017"
Tamil Nadu,2017-18,86654,2017,"Financial Year (Apr - Mar), 2017"
Puducherry,2017-18,2540,2017,"Financial Year (Apr - Mar), 2017"
Lakshadweep,2017-18,49,2017,"Financial Year (Apr - Mar), 2017"
Bihar,2017-18,18713,2017,"Financial Year (Apr - Mar), 2017"
Jharkhand,2017-18,19950,2017,"Financial Year (Apr - Mar), 2017"
Odisha,2017-18,17714,2017,"Financial Year (Apr - Mar), 2017"
West Bengal,2017-18,45478,2017,"Financial Year (Apr - Mar), 2017"
Sikkim,2017-18,344,2017,"Financial Year (Apr - Mar), 2017"
Andaman & Nicobar Islands,2017-18,266,2017,"Financial Year (Apr - Mar), 2017"
Arunachal Pradesh,2017-18,437,2017,"Financial Year (Apr - Mar), 2017"
Assam,2017-18,7064,2017,"Financial Year (Apr - Mar), 2017"
Manipur,2017-18,564,2017,"Financial Year (Apr - Mar), 2017"
Meghalaya,2017-18,1064,2017,"Financial Year (Apr - Mar), 2017"
Mizoram,2017-18,396,2017,"Financial Year (Apr - Mar), 2017"
Nagaland,2017-18,664,2017,"Financial Year (Apr - Mar), 2017"
Tripura,2017-18,928,2017,"Financial Year (Apr - Mar), 2017"
Chandigarh,2018-19,1535,2018,"Financial Year (Apr - Mar), 2018"
Delhi,2018-19,29169,2018,"Financial Year (Apr - Mar), 2018"
Haryana,2018-19,41017,2018,"Financial Year (Apr - Mar), 2018"
Himachal Pradesh,2018-19,9041,2018,"Financial Year (Apr - Mar), 2018"
Jammu & Kashmir,2018-19,9633,2018,"Financial Year (Apr - Mar), 2018"
Punjab,2018-19,50120,2018,"Financial Year (Apr - Mar), 2018"
Rajasthan,2018-19,60151,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2018-19,91355,2018,"Financial Year (Apr - Mar), 2018"
Uttarakhand,2018-19,11543,2018,"Financial Year (Apr - Mar), 2018"
Chhattisgarh,2018-19,22210,2018,"Financial Year (Apr - Mar), 2018"
Gujarat,2018-19,95970,2018,"Financial Year (Apr - Mar), 2018"
Madhay Pradesh,2018-19,56972,2018,"Financial Year (Apr - Mar), 2018"
Maharashtra,2018-19,132619,2018,"Financial Year (Apr - Mar), 2018"
Daman & Diu,2018-19,2431,2018,"Financial Year (Apr - Mar), 2018"
Dadra & Nagar Haveli,2018-19,6066,2018,"Financial Year (Apr - Mar), 2018"
Goa,2018-19,3787,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2018-19,55407,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2018-19,58366,2018,"Financial Year (Apr - Mar), 2018"
Karnataka,2018-19,62405,2018,"Financial Year (Apr - Mar), 2018"
Kerala,2018-19,21414,2018,"Financial Year (Apr - Mar), 2018"
Tamil Nadu,2018-19,91788,2018,"Financial Year (Apr - Mar), 2018"
Puducherry,2018-19,2654,2018,"Financial Year (Apr - Mar), 2018"
Lakshadweep,2018-19,49,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2018-19,20856,2018,"Financial Year (Apr - Mar), 2018"
Jharkhand,2018-19,21184,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2018-19,19373,2018,"Financial Year (Apr - Mar), 2018"
West Bengal,2018-19,48290,2018,"Financial Year (Apr - Mar), 2018"
Sikkim,2018-19,381,2018,"Financial Year (Apr - Mar), 2018"
Andaman & Nicobar Islands,2018-19,255,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,2018-19,447,2018,"Financial Year (Apr - Mar), 2018"
Assam,2018-19,7268,2018,"Financial Year (Apr - Mar), 2018"
Manipur,2018-19,613,2018,"Financial Year (Apr - Mar), 2018"
Meghalaya,2018-19,1105,2018,"Financial Year (Apr - Mar), 2018"
Mizoram,2018-19,408,2018,"Financial Year (Apr - Mar), 2018"
