State,Year,Year,Consumption
Chandigarh,2011,"Financial Year (Apr - Mar), 2011",1301.0
Delhi,2011,"Financial Year (Apr - Mar), 2011",23015.0
Haryana,2011,"Financial Year (Apr - Mar), 2011",27614.0
Himachal Pradesh,2011,"Financial Year (Apr - Mar), 2011",6844.0
Jammu & Kashmir,2011,"Financial Year (Apr - Mar), 2011",4267.0
Punjab,2011,"Financial Year (Apr - Mar), 2011",33888.0
Rajasthan,2011,"Financial Year (Apr - Mar), 2011",37904.0
Uttar Pradesh,2011,"Financial Year (Apr - Mar), 2011",50592.0
Uttarakhand,2011,"Financial Year (Apr - Mar), 2011",8253.0
Chhattisgarh,2011,"Financial Year (Apr - Mar), 2011",13178.0
Gujarat,2011,"Financial Year (Apr - Mar), 2011",57654.0
Madhya Pradesh,2011,"Financial Year (Apr - Mar), 2011",28541.0
Maharashtra,2011,"Financial Year (Apr - Mar), 2011",96642.0
Daman & Diu,2011,"Financial Year (Apr - Mar), 2011",1771.0
Dadra & Nagar Haveli,2011,"Financial Year (Apr - Mar), 2011",4139.0
Goa,2011,"Financial Year (Apr - Mar), 2011",2973.0
Andhra Pradesh,2011,"Financial Year (Apr - Mar), 2011",70421.0
Telangana,2011,"Financial Year (Apr - Mar), 2011",
Karnataka,2011,"Financial Year (Apr - Mar), 2011",47456.0
Kerala,2011,"Financial Year (Apr - Mar), 2011",15993.0
Tamil Nadu,2011,"Financial Year (Apr - Mar), 2011",61897.0
Puducherry,2011,"Financial Year (Apr - Mar), 2011",2322.0
Lakshadweep,2011,"Financial Year (Apr - Mar), 2011",34.0
Bihar,2011,"Financial Year (Apr - Mar), 2011",6184.0
Jharkhand,2011,"Financial Year (Apr - Mar), 2011",15595.0
Odisha,2011,"Financial Year (Apr - Mar), 2011",13054.0
West Bengal,2011,"Financial Year (Apr - Mar), 2011",33903.0
Sikkim,2011,"Financial Year (Apr - Mar), 2011",371.0
